Headlines,Dates
Tesla Needs To Ramp Up Shanghai Production Further To Meet Demand In 2020,4/10/2020
Tesla Faces Coronavirus Cash Crunch,4/9/2020
Tesla's First Quarter Model S And X Sales Lowest In Years,4/9/2020
Multiple Real-World Tests Show That Tesla Has No 'Secret Sauce' With Its Battery Range,4/9/2020
Tesla: Estimating Q1 Cash Burn,4/8/2020
Tesla Unsold Inventory Soars 112%,4/8/2020
Why Tesla Remains A Strong Buy,4/7/2020
"For Tesla, Coronavirus Changes Everything",4/6/2020
Tesla Fiat Agreement: Big Windfall Vs Big Disappointment,4/5/2020
"Tesla: From Little Things, Big Things Grow",4/4/2020
Tesla Q1 Units Release Disappointing,4/3/2020
Some Thoughts On The Outlook For Tesla's Q2 Sales: Lower,4/3/2020
Tesla's Delivery Report Is Unusually Curt,4/3/2020
Tesla: End Of Q1 Setup,3/30/2020
Tesla Faces Existential Risks,3/30/2020
Tesla: Lessons From A Cage Fighter,3/30/2020
Tesla's New Market Share Loss In Norway,3/27/2020
Tesla: A Bear Turns More Positive,3/26/2020
Tesla: Elon Musk Wins Again,3/23/2020
Why We Downgraded Tesla And How We Get Back In,3/23/2020
Tesla's Liquidity Is Largely Illusory,3/22/2020
"Tesla: Sub $35,000 Model 3 Here",3/20/2020
Massive Tax Breaks In The U.K. Bring Both Opportunity And Risk For Tesla,3/17/2020
Tesla Should Raise Capital Again,3/16/2020
Tesla Looking For More Subsidies,3/13/2020
Tesla: Solving Autonomous Driving Like A Video Game,3/12/2020
"Collect $41 Million From Tesla? It's Up To You, New York",3/12/2020
"In The Hole In 3 European Countries, Tesla Has Much Wood To Chop For Q1",3/11/2020
Tesla: Be Ready For A Big Q1 Miss,3/9/2020
Tesla Q1 Push Faces Major Uncertainty,3/9/2020
Battery Cells: Tesla Could Lose The Competition For Independence,3/5/2020
Tesla: China Hardware Issue A Bad Look,3/5/2020
Tesla's Gross Margin: Bad To Worse,3/5/2020
"Norway February Electric Car Sales Are In, And Tesla Was Beaten By The Competition",3/2/2020
Stationary Batteries Will Become The Other Half Of Tesla's Business,2/28/2020
Tesla: Model 3 Losing Market Share In Europe Will Hurt,2/28/2020
Tesla Risk On The Rise,2/27/2020
On First Looking Into Tesla's 10-K,2/24/2020
"Tesla: Bullish Q4 Print, Moving To Neutral",2/20/2020
Tesla Has A 'Delirious' Valuation No Matter How You Look At It,2/19/2020
Tesla's Big Revenue Shift In 2019,2/18/2020
Tesla: More Mixed Messages,2/18/2020
Think Of Tesla Stock As The Hermes Birkin Handbag For Today's Equity Market,2/18/2020
Tesla: Bullish Stock Action,2/18/2020
Energy Storage Will Electrify Tesla's Future Results,2/13/2020
Tesla Raises Money Before Investors See The Bad European Sales Numbers,2/13/2020
Tesla: No Excuses Now,2/11/2020
ETFs Continue To Pump The Brakes On Tesla,2/11/2020
Fear Turns Into Fear Of Missing Out - Alpha Trader Talks With Helene Meisler (Podcast),2/11/2020
Academic Research Says Tesla Likely To Give Back At Least Some Short Squeeze Gains,2/10/2020
Tesla: Overvalued But Has Potential For Long-Term Growth,2/10/2020
"Tesla: No Bubble Here, Contrarian Divergence - Bullish",2/10/2020
Tesla: An Obvious Sell At Above $750,2/10/2020
Tesla's Potential Trajectory During The Next 5 Years,2/9/2020
Tesla's 'Foundational Rewrite' Of Autopilot: An Overlooked Upside Risk,2/8/2020
Tesla: Shareholders Should Prepare For Potential Dilution,2/7/2020
LiDAR: Discussing The Best Autonomous Driving Sensor Suite,2/7/2020
A Do-It-Yourself (DIY) Valuation Of Tesla: Of Investment Regrets And Disagreements,2/7/2020
Tesla: Reminiscences Of A Stock Bubble,2/6/2020
Tesla: No More Short Squeeze In Sight,2/6/2020
Tesla: The Top Is Here,2/5/2020
Tesla: Fake News Fuels Rally,2/4/2020
"5 Reasons Tesla Shorts Should Double Up, Not Give Up",2/4/2020
Tesla Stock Price Goes Ballistic,2/3/2020
"Even Assuming Full Production Capacity From 2 Factories, Tesla Shares Are Too Expensive",2/3/2020
The Key To Tesla's Future Is Full Self-Driving,2/3/2020
"Tesla: A Solid Year, But The Future Is Even Brighter",2/2/2020
"Tesla: Tracking The Amazon/Apple Paradigms, And It's Still Early Days",1/31/2020
An Ode To Luck: Revisiting My Tesla Valuation,1/31/2020
The Verdict Is In: Audi And Jaguar Electric SUVs Outsold Tesla Model X And S In Europe,1/30/2020
Tesla Surges Despite Mixed Results,1/30/2020
"In The Second Half Of 2019, Tesla's Revenue Fell 3%, And Earnings Fell 45%",1/29/2020
Fear Of Missing Out Turns Into Fear (Podcast),1/28/2020
Tesla: It's Earnings Time,1/27/2020
Tesla Will Likely Report A GAAP Profit In Its Q4 Earnings Report,1/27/2020
6 Questions For Tesla's Earnings Call,1/27/2020
Tesla's Sweet Timing On Its BEV Truck,1/25/2020
Tesla's European Model 3 Sales To Decline By 60% In January Based On Registration Data,1/24/2020
Tesla's Capacity Expansion Will Send Margins Into Reverse,1/23/2020
Here's Why Tesla Continues Its Surge,1/23/2020
The Next Really Big Thing - Cody Willard Talks With Alpha Trader (Podcast Transcript),1/23/2020
"Tesla Is In Ludicrous Mode, But Curves Ahead For The Auto Sector (Video)",1/22/2020
Tesla Autopilot Safety Rate Crashes,1/21/2020
Tesla Lost U.S. Market Share To Cadillac And Lincoln In 2019,1/21/2020
The Next Really Big Thing - Cody Willard Talks With Alpha Trader (Podcast),1/21/2020
Tesla's Q4 Earnings: Expect A Substantial Beat,1/20/2020
Tesla Is Going Nowhere,1/17/2020
Tesla's Supercharger Powerhouse,1/17/2020
Our Eye Is On Tesla With A 10-Year Production Forecast - Target Price: $655.72,1/17/2020
"Tesla Stock Has Come Too Far, Too Fast",1/16/2020
Even Bulls Are Selling Tesla At A $90 Billion Market Cap,1/16/2020
Tesla: Euphoria Kicks In,1/16/2020
Tesla: 2020 Key Numbers,1/15/2020
Tesla's Decidedly Mediocre Margin,1/15/2020
Breaking Down Tesla Stock Price,1/14/2020
German Gigafactory To Be The Final Piece In The Puzzle For Tesla,1/14/2020
"Tesla: Monster Run, Still Bullish, Still Upside, But Watching Q4 EPS",1/14/2020
Tesla: Predictions For 2020,1/13/2020
Electricity Shock: Toyota Camry Cheaper To Fuel Than A Tesla Model 3,1/13/2020
"Tesla: Self-Supervised Learning, Dojo, And Full Self-Driving",1/12/2020
Musk Is Dancing For A Reason,1/10/2020
Tesla: Time For Capital Raise,1/9/2020
Tesla: There Is A Better Option To Invest Your Money And Addressing Bullish Tesla Arguments,1/7/2020
Tesla Q4 Deliveries Quite Strong,1/7/2020
"Tesla At $451 A Share, Post 2019 Delivery Numbers, Is A ('Soft') Sell",1/6/2020
Tesla: Running Out Of Steam,1/6/2020
"Forget The Share Price, Tesla Is Still A Short",1/6/2020
My Fearless Forecasts For Tesla's 2020,1/3/2020
"Tesla: Ahead Of A Reduction In The EV Tax Incentive In The Netherlands, Record Sales",1/2/2020
Tesla: Making The Most Out Of Extreme Volatility And High Voltage,12/31/2019
12.76 Million New Reasons To Sell Tesla Shares,12/31/2019
Tesla: Q4 Expectations Surge,12/30/2019
What To Expect For Tesla's Fourth Quarter Deliveries,12/27/2019
Tesla: We Need To Talk About The Model Y,12/27/2019
Tesla's Q1 And Q2 2020 Will Be Disastrous,12/26/2019
"Tesla: Q4 Strong, Still Big Upside",12/24/2019
China And Tesla Both To Benefit From Shanghai Project,12/23/2019
"Tesla's Warranty Expense: Quality Improves, But Some Numbers Don't 'Foot'",12/23/2019
Tesla Warranty Expense: A Case Of Goodwill By The Auditors,12/23/2019
Tesla: Get Ready For Another Profitable Fourth Quarter,12/22/2019
Time To Start Trimming Tesla,12/20/2019
Tesla: The Key Reason The Shorts Are Getting Run Over,12/19/2019
A Tesla Shareholder's Biggest Fear: Robotaxis,12/19/2019
Tesla: New Estimates Not Good,12/18/2019
Dissecting The Life-Cycle Profitability Of Tesla's Leased Cars,12/17/2019
The Tesla Cybertruck Is No Ford F-150,12/16/2019
"Tesla, The Small Stuff Means Big Business",12/13/2019
Tesla's Accounts Receivables Narrative Does Not Hold Up To Scrutiny,12/11/2019
Battery Developments Coming Thick And Fast For Tesla,12/11/2019
Tesla: Race To Record Q4,12/11/2019
"Tesla: Nothing Matters, Until Everything Matters",12/9/2019
Tesla: The Hype Does Not Reflect Reality,12/6/2019
Tesla Will Likely Achieve Record Deliveries In Q4 Despite Headwinds,12/4/2019
Tesla: Automatic Labeling For Computer Vision,12/3/2019
Tesla: Ready To Re-Enter The Fast Lane,12/3/2019
Tesla's Cybertruck Is Far From A Failure,12/2/2019
Tesla Cybertruck Peak Craziness,12/1/2019
Here's The Real Problem With Tesla's Cybertruck,11/30/2019
How The Big Tesla Battery Is Making Money,11/25/2019
Tesla Cybertruck Event Falls Flat,11/22/2019
"Tesla's New Pickup Is Ugly, Sell; Also Week-End Rally Pattern Holding But Weakly",11/22/2019
Tesla: Big Upside,11/20/2019
Tesla's Gigafactory 4 Is One Of Elon Musk's Smartest Moves,11/20/2019
Tesla Q4 Halftime Report,11/19/2019
Tesla Bears Have 9 Lives,11/19/2019
Tesla: An Analysis Of Demand In Established Markets,11/18/2019
"Tesla Lost Market Share In Q3 To BMW, Mercedes, Audi And Volvo",11/14/2019
Tesla: 'Operation Vacation',11/12/2019
Tesla: Another Incentive Declining,11/11/2019
"Tesla: Priced For Hyper-Growth, Yet Not Only Are Revenues Declining But So Are Unit Sales In Mature Markets",11/11/2019
Tesla And The Demise Of California Air Resource Board's ZEV Credit Market,11/11/2019
Tesla: It's Not All Doom And Gloom,11/7/2019
Tesla: The Curious Cash Position,11/6/2019
Energy Storage Moves Up The Agenda For Tesla,11/6/2019
"Tesla's Surprise Quarter: A Case Of Accounting Adjustments, Not Operational Improvements",11/6/2019
Tesla: Weak Sales Outlook Ahead,11/4/2019
Tesla: I Was Horribly Wrong But Quite Right At The Same Time,11/4/2019
Tesla: Battery Supply And Demand At China Gigafactory 3,11/1/2019
On Tesla And Policy Failure,10/31/2019
Tesla: Short Squeeze Rally Doesn't Have 'Extended Range',10/30/2019
Tesla: Another Questionable Solar Roof Launch,10/29/2019
Tesla And Multitasking,10/29/2019
Tesla Solar Is Still On Life Support,10/29/2019
"In 10-Q, Tesla Admits China Continues To Deny Required Manufacturing License",10/29/2019
Why I Do Not Trust Tesla's Books,10/28/2019
Tesla: Structural Profitability Underway,10/25/2019
You're Not Going To Believe Tesla's Negative Growth Rates,10/24/2019
Numbers Don't Support The Q3 Story At Tesla,10/24/2019
Tesla's Surprise Profit Conceals Deteriorating Fundamentals,10/24/2019
Tesla Reports Surprise Q3 Profit,10/23/2019
Here's Why Tesla Will Be Able To 'Produce' The Model Y Earlier Than Previously Expected,10/23/2019
"Tesla's Model 3 Sales Fall 97% In Norway This October, From The March Peak",10/22/2019
Tesla: Q3 Key Earnings Questions,10/21/2019
Tesla's Cash Balance To Remain Close To $5 Billion At Sept. 30,10/21/2019
New Fight With Taycan Shows That Tesla Is Aware Of Strong Competition And Faces Tough Times,10/21/2019
Tesla: Riding The Road To Profitability,10/18/2019
Tesla Vs. BYD: A Relative Valuation,10/18/2019
The Likely Impact Of EU Emission Regulations On Tesla's European Sales,10/17/2019
Tesla Q3 Earnings: Model 3 Delivers Sales But Not Profit,10/17/2019
Tesla Battery Storage: Growth Is Limited,10/15/2019
Cash-Strapped Tesla Unleashes Capital Outlay For Model 3,10/15/2019
Tesla In Australia : Model 3 Sales Impacting ICE Sales,10/15/2019
Tesla: Uphill Battle In China,10/14/2019
Tesla Semi Can Be A Profitable Niche Player In A Strong Growth Market For Heavy Duty Trucks,10/14/2019
Tesla: Solar Is On The Rise,10/11/2019
Why Tesla's Earnings Are A Complete Mystery,10/11/2019
Tesla: EV Benefit Cliff Coming,10/7/2019
Tesla And Autonomy: The Possibility Of Fast Progress,10/7/2019
Tesla: Semi And Roadster Are Worth Billions,10/4/2019
Tesla's Share Price Chaos: 4 Reasons Why The Delivery Record Is Not Relevant For Rational Investors,10/3/2019
Tesla's Model Y: This Could Be The Company's Most Profitable Vehicle,10/3/2019
Tesla Q3 Falls Short Of 100K,10/2/2019
Structural Reasons For Tesla's Travails,10/2/2019
Tesla's Q3 Leaked Email: No Demand Problem,9/30/2019
Tesla News: Truth Vs. Reality,9/26/2019
Tesla's Third Gigafactory: Highly Profitable,9/25/2019
Tesla: Model Y Potential Limitations,9/23/2019
Tesla's Production Efficiencies Put 25% Margins In Reach,9/23/2019
Tesla's Day Of VIE Reckoning Has Arrived,9/23/2019
Why China Could Be Tesla's Undoing,9/20/2019
Tesla: Expectations Are Set Too High For Q3,9/19/2019
"Tesla: Q3 Push For 100,000 Sales",9/17/2019
Tesla Desperately Fights Its Already Lost Battle,9/16/2019
The Decline In High-Margin Models Is The Main Concern For Tesla,9/16/2019
Volkswagen ID.3 Vs. Tesla Model 3: The European Electric Car Volume Battle,9/16/2019
Tesla Looks Unstoppable,9/13/2019
Tesla's Million Mile Battery,9/13/2019
More Broken Promises From Tesla,9/12/2019
Tesla: Competition Does Matter,9/11/2019
Tesla Auto Sales Likely To Boom In Asia In 2020,9/11/2019
Headlines,Dates
Tesla Insurance: A Startling Asset,9/10/2019
Tesla Vs. Porsche Taycan Is Like iPhone Vs. Android All Over Again,9/5/2019
"August Numbers Are In For Tesla: Here's A Path To A Disappointing 97,000 For Q3",9/4/2019
Tesla: The Growing Nickel Problem,9/4/2019
Tesla: Revenue Vs. Profitability,9/2/2019
"Using Quantitative Models To Screen For Winning Trades, With Ruerd Heeg (Podcast)",9/2/2019
Tesla Is Losing Its Biggest Asset: Its Brand,8/30/2019
Tesla: How Margins Could Rise Significantly,8/30/2019
Tesla: China Questions Arise,8/29/2019
Where The Bulls And Bears Are Wrong On Tesla,8/27/2019
Walmart Surfaces Tesla's Solar Problem,8/26/2019
How Tesla Model X And S Sales Numbers Were Savaged By Audi And Jaguar,8/26/2019
Tesla - China May Not Be Able To Shoulder The Heavy Future,8/24/2019
Tesla's Solar Struggles Continue,8/23/2019
Tesla's Robotaxi Red Herring,8/22/2019
Tesla's New Solar Rental Product Could Decimate Residential Solar Installers,8/20/2019
Tesla Focus Shifts To Sales Mix,8/19/2019
Tesla Needs More Money,8/19/2019
Tesla Energy Storage Potential Given Boost At Company And Industry Levels,8/16/2019
The Best Tesla Can Hope For,8/13/2019
Tesla: Enjoy The Valuation Premium While It Lasts Because It's Going Away,8/13/2019
Tesla: Production Is A Sensitive Topic Now,8/12/2019
"Tesla's Model 3 Sales In Europe Declined In Q2, July, And Aug. 1-9",8/12/2019
Tesla's Advantage In Behaviour Prediction For Autonomous Driving,8/11/2019
The Intrinsic Value Of Tesla,8/10/2019
Peak Tesla AKA The Growth Story Is Over,8/9/2019
Glencore's Mutanda Mine Closure Could Cripple Or Kill Tesla,8/8/2019
Tesla: One Year Later,8/7/2019
Tesla: No Such Thing As 'Structurally Bankrupt',8/5/2019
Tesla Trade War Troubles,8/5/2019
"Tesla: Cars, Batteries, And Solar Roofs",8/1/2019
Tesla: The Curious Case Of The Model 3 Lease,8/1/2019
Tesla's Accomplishments Are Widely Ignored,8/1/2019
Tesla Bets It All On China,8/1/2019
Tesla Is No Amazon,7/31/2019
Tesla: Here's A Problem,7/31/2019
Tesla: Q2 Is More Than Just A Disaster,7/31/2019
Tesla Is Structurally Bankrupt,7/30/2019
Tesla Reveals In Its 10-Q That It Doesn't Yet Have The Required Manufacturing License For China,7/29/2019
Tesla: We Have A Problem,7/29/2019
"Auto RACE: Ferrari Has The Lead, But Ford Is Making A Move (Video)",7/26/2019
Both Facebook And Tesla Surprise The Market,7/25/2019
Tesla: When Records Don't Matter,7/25/2019
3 Key Takeaways From Tesla's Earnings Call,7/25/2019
Tesla: We're Going To Miss You When You're Gone,7/25/2019
"Tesla: Elon Musk Has Embraced Competition, But Things Are Changing",7/24/2019
Tesla: Q2 2019 Earnings Preview,7/22/2019
Tesla: Demand Cliff At The Edge Of The Earth,7/18/2019
Tesla Slashes Model 3 Purchase And Lease Prices Again,7/16/2019
Model 3 Demand Remains Strong And May Push Tesla's Stock Higher,7/16/2019
The Tesla Pickup Truck Will Face Tough Questions On Reliability,7/16/2019
Tesla: Don't Miss The Forest For The Trees,7/15/2019
Tesla: Bad Week For Autopilot,7/15/2019
Tesla Earnings: Big Loss Likely Despite Record Deliveries,7/11/2019
Tesla: Don't Be Fooled By 'Record' Deliveries,7/11/2019
Tesla Short Interest Remains High,7/10/2019
Tesla: Q3 Profits,7/10/2019
"Tesla Quietly Cuts Model 3 Lease Prices Again, Signaling Weak Demand",7/10/2019
Battery Developments Will Cement Leading Position Of BYD Auto And Tesla,7/9/2019
Tesla In The Rearview Mirror,7/8/2019
Tesla: An Interesting Reaction,7/8/2019
The Tesla Demand Mirage,7/5/2019
Tesla: The Great American Car Company,7/4/2019
Tesla Q2 Sets Quarterly Records,7/3/2019
Tesla: Europe Q2 Shows Cracks,7/1/2019
"Tesla On Track For 88,000 Units Sold In Q2",6/28/2019
Mission Accomplished: Tesla Insider Easy Money Options Exhausted,6/27/2019
Tesla: Close Isn't Good Enough,6/26/2019
Eyes On Tesla's Unit Cost And Ads ROI,6/24/2019
Tesla Is Losing The Race To Develop Solid-State Battery Tech,6/24/2019
Tesla's Model 3: Demand Is High,6/23/2019
Tesla May Need Heavy Fleet Sales To Meet Q2 Guidance,6/21/2019
Tesla's Model S And X: Demand To Rebound,6/20/2019
Tesla Pickup Truck Claims Defy The Laws Of Physics,6/19/2019
The Audi eTron Has Now Outsold Tesla Model X And S,6/19/2019
Tesla: 3 Items To Watch,6/17/2019
Tesla To Use Panasonic Cells In China: A Costly And Risky Option,6/14/2019
Tesla Bears Don't Panic,6/14/2019
